boss_id,name,defense_type,defense_value
14,Mergo's Wet Nurse,def_phys,148
14,Mergo's Wet Nurse,def_thrust,148
14,Mergo's Wet Nurse,def_blood,148
14,Mergo's Wet Nurse,def_blunt,177
14,Mergo's Wet Nurse,res_rapid_poison,180
14,Mergo's Wet Nurse,res_slow_poison,250
15,"Micolash, Host of the Nightmare",def_fire,124
15,"Micolash, Host of the Nightmare",def_thrust,125
15,"Micolash, Host of the Nightmare",def_bolt,125
15,"Micolash, Host of the Nightmare",res_rapid_poison,132
15,"Micolash, Host of the Nightmare",def_blunt,134
15,"Micolash, Host of the Nightmare",res_slow_poison,144
15,"Micolash, Host of the Nightmare",def_phys,169
15,"Micolash, Host of the Nightmare",def_blood,179
15,"Micolash, Host of the Nightmare",def_arcane,232
16,"Ludwig, The Holy Blade",def_fire,119
16,"Ludwig, The Holy Blade",def_phys,140
16,"Ludwig, The Holy Blade",def_blunt,140
16,"Ludwig, The Holy Blade",def_thrust,140
16,"Ludwig, The Holy Blade",def_blood,140
16,"Ludwig, The Holy Blade",def_bolt,168
16,"Ludwig, The Holy Blade",def_arcane,252
17,Living Failures,def_bolt,71
17,Living Failures,def_fire,92
17,Living Failures,def_thrust,102
17,Living Failures,def_blood,171
17,Living Failures,res_rapid_poison,180
17,Living Failures,def_phys,239
17,Living Failures,res_slow_poison,250
17,Living Failures,def_arcane,256
17,Living Failures,def_blunt,273
18,Lady Maria of the Astral Clocktower,def_arcane,103
18,Lady Maria of the Astral Clocktower,def_bolt,103
18,Lady Maria of the Astral Clocktower,def_phys,147
18,Lady Maria of the Astral Clocktower,def_blunt,147
18,Lady Maria of the Astral Clocktower,def_thrust,147
18,Lady Maria of the Astral Clocktower,def_blood,147
18,Lady Maria of the Astral Clocktower,def_fire,177
19,Orphan of Kos,def_phys,183
19,Orphan of Kos,def_blunt,183
19,Orphan of Kos,def_thrust,183
19,Orphan of Kos,def_blood,183
19,Orphan of Kos,def_fire,205
19,Orphan of Kos,def_bolt,228
19,Orphan of Kos,def_arcane,274
20,"Laurence, the First Vicar",def_phys,148
20,"Laurence, the First Vicar",def_thrust,148
20,"Laurence, the First Vicar",def_blood,148
20,"Laurence, the First Vicar",def_blunt,178
20,"Laurence, the First Vicar",def_arcane,200
20,"Laurence, the First Vicar",def_bolt,200
20,"Laurence, the First Vicar",def_fire,744
21,"Gehrman, the First Hunter",def_arcane,65
21,"Gehrman, the First Hunter",def_bolt,65
21,"Gehrman, the First Hunter",def_fire,70
21,"Gehrman, the First Hunter",def_phys,150
21,"Gehrman, the First Hunter",def_blunt,150
21,"Gehrman, the First Hunter",def_thrust,150
21,"Gehrman, the First Hunter",def_blood,150
22,Moon Presence,def_arcane,75
22,Moon Presence,def_fire,75
22,Moon Presence,def_bolt,75
22,Moon Presence,def_phys,137
22,Moon Presence,def_blunt,137
22,Moon Presence,def_thrust,137
22,Moon Presence,def_blood,137
